time_s,phase,policy,spin_policy_loaded,x_m,y_m,trunk_z_m,forward_mps,lateral_mps,planar_speed_mps,jaw_z_m,head_pitch_rad,yaw_rate_radps,yaw_delta_deg,upright_score
1.16,long_approach,walking,True,-1.76947339452611,-0.6465989928346142,0.12072891496015878,0.0975629694045421,0.0024929566636055713,0.09759481457515164,0.23213976592248933,0.3507280475487511,0.07336444778596261,2.4091393129511713,0.9957557916641235
1.18,long_approach,walking,True,-1.7674188678770646,-0.6464531595258223,0.1207069847529169,0.10592043293616038,0.0045016367949583585,0.10601604995102096,0.23205945981989856,0.354553069967826,0.030377131906720162,2.453072893559679,0.995137631893158
1.2,long_approach,walking,True,-1.7651340658100754,-0.6462667491523058,0.12061934478795777,0.11874878597391945,0.005395297797364088,0.1188712892527122,0.23197238289909455,0.3580864548378177,0.03602577370794759,2.492215650533523,0.9947162866592407
1.22,long_approach,walking,True,-1.7626590543827378,-0.6459739284190398,0.12042237507495408,0.12566665843450633,0.011769658342412564,0.1262166149902302,0.23183768049477269,0.36074247997890563,-0.023465509889898713,2.457914946362526,0.994629979133606
1.24,long_approach,walking,True,-1.7601870181647847,-0.6447713825234178,0.11952229136480598,0.12133437369045419,0.08606755644488631,0.14876039295205049,0.23134661155596697,0.3622694496151943,-0.44052070889823447,2.202665276986612,0.9950116276741028
1.26,long_approach,walking,True,-1.757598055310106,-0.6429133359536382,0.11849938111802881,0.13619901470927162,0.06918305631634829,0.1527627797896052,0.23035919148204104,0.36259102885232825,-0.4281858244767293,1.6638643670451092,0.9959532618522644
1.28,long_approach,walking,True,-1.7550757911856893,-0.6420864009791387,0.11801185522541084,0.11763009192824485,0.014772739486342425,0.11855409043545767,0.23012587591015932,0.36263470167839745,1.1046370495910225,2.323428954030239,0.9977297186851501
1.3,long_approach,walking,True,-1.7535183827974818,-0.64171459553849,0.11667607143693208,0.03755702604148153,0.023083191910831264,0.04408360187045504,0.22952636042241073,0.36137465572450655,0.8605019774632287,3.471113075237228,0.9994606375694275
1.32,long_approach,walking,True,-1.7538069280850541,-0.6414168022944096,0.11456818728864945,-0.039131367878088595,-0.004031598188924837,0.0393385019537761,0.2278517816086409,0.3609014066867835,0.4889122931522165,4.280753409743785,0.9998459815979004
1.34,long_approach,walking,True,-1.7545599335444515,-0.6425229978467951,0.11342409439992002,-0.03504461950271549,-0.08169804123293642,0.0888971051125327,0.22715203060883163,0.36285855583103477,-0.15542826402043514,4.687247030296803,0.9980150461196899
1.36,long_approach,walking,True,-1.755231759976755,-0.6437465005449693,0.11323322553343214,-0.03768189616002318,-0.05329147653173814,0.06526796127616954,0.22693514652238955,0.36615288520491523,-0.48408016604360876,4.313419404511052,0.9944558143615723
1.3800000000000001,long_approach,walking,True,-1.7559619908091304,-0.6445516008884413,0.11292332057904075,-0.03443441683275983,-0.02890246997835634,0.04495644373682201,0.22645342462785661,0.3677383108508534,-0.20609658968163924,3.889684418861244,0.9892171621322632
1.4000000000000001,long_approach,walking,True,-1.756408715483305,-0.6450253254066098,0.11279438043822305,-0.014226887405821592,-0.016722859442492993,0.021955827317395763,0.22580821699487957,0.3706677599510703,-0.38308153505948306,3.6422703741815416,0.9832878708839417
1.42,long_approach,walking,True,-1.756204299192372,-0.645087207747952,0.1127717125114106,0.026550631864854377,-0.0039862475263871405,0.02684820704934779,0.22512537654134135,0.37184724784669665,-0.1469780158227887,3.741743273307722,0.9768627882003784
1.44,long_approach,walking,True,-1.755133365330778,-0.6449215231790905,0.11282971096125075,0.06646049084252233,0.008060186644628575,0.06694746785185564,0.22489947212651087,0.37387624206424375,0.048233079896963724,3.6804608667577434,0.9735828638076782
1.46,long_approach,walking,True,-1.7530218166614175,-0.6447807522079158,0.11351487498893961,0.11516479660930408,0.0005683392942541549,0.11516619898049847,0.22544049213685094,0.37431733911052106,-0.2261019903617697,3.5318127040332654,0.9733624458312988
1.48,long_approach,walking,True,-1.749715212055489,-0.6449689226173148,0.11429615607989116,0.17109303148010774,-0.008549142594634835,0.1713064892529076,0.22624513523898446,0.37175461082484434,0.33171502636958733,3.5551133266525214,0.97466641664505
1.5,long_approach,walking,True,-1.7453730322742058,-0.6449838879328194,0.11524714990833698,0.2142547279097542,-0.04237601978484313,0.2184051635939229,0.2273979603865177,0.36810696687702504,0.01381421941562222,3.8403987211342496,0.9773216247558594
1.52,long_approach,walking,True,-1.7400496061896868,-0.645291444789257,0.11656772679058258,0.26682721384241814,-0.02480755258565659,0.26797794071937653,0.22891644398690625,0.36606727776609405,0.07090184054223261,3.8429615753782675,0.9811354875564575
1.54,long_approach,walking,True,-1.733812235486738,-0.6454244918622903,0.11712265167481162,0.3176912730966698,-0.027672224387999506,0.31889417837954115,0.22994524272749586,0.3652838798641233,0.2595919207121287,4.010989455059681,0.9852890968322754
1.56,long_approach,walking,True,-1.726803060277422,-0.6454689873279971,0.11746906883201103,0.3544002256824383,-0.026699925320025394,0.35540456662212166,0.23059624713581212,0.36582092906004043,0.47724823394621724,4.439681108162635,0.9889523983001709
1.58,long_approach,walking,True,-1.7195342601496997,-0.6454124179397015,0.11718249226203009,0.34610564612644396,-0.01645456661043379,0.3464965671445252,0.23035279890124344,0.36671971296901984,0.5111078538902997,4.950603927253061,0.9915465712547302
1.6,long_approach,walking,True,-1.712876133940177,-0.6449484091148237,0.11675274775134316,0.33918938006879346,-0.009348127528298689,0.3393181737539823,0.23001197183700214,0.3675900928983896,0.36482012794001706,5.464498293527293,0.992607831954956
1.62,long_approach,walking,True,-1.7061253645000694,-0.6446126212432939,0.11568942945987083,0.3373995437571718,-0.021574207078418197,0.3380885956943981,0.22884024885976284,0.3678782263804751,-0.04866365002698093,5.603977942159587,0.9931147694587708
1.6400000000000001,long_approach,walking,True,-1.699531511182593,-0.6442738071411043,0.1146419402966739,0.32811418598414993,0.014045026622255735,0.32841464921172625,0.22769664702037867,0.3674238161979049,0.14100409617556234,5.437234665680421,0.9933042526245117
1.6600000000000001,long_approach,walking,True,-1.693673013553095,-0.6429800299152759,0.1138897724824946,0.29334842104798,0.0582255535188367,0.2990710805375837,0.2269365024567079,0.3663941679205112,0.8223552944705452,6.04174028568318,0.9932135343551636
1.68,long_approach,walking,True,-1.6882497422871938,-0.640972323781066,0.11280149027784898,0.2733318827340254,0.043911845901747217,0.2768367178129119,0.22576874934555233,0.3640354129889502,0.766269588141621,7.119663874032767,0.9929773807525635
1.7,long_approach,walking,True,-1.6829569554348391,-0.6395900388255692,0.1124271433881648,0.2812714219320139,0.04313768993285657,0.2845601396689288,0.22550034695664287,0.3626875268545852,0.4119316377280242,7.719645830735685,0.9935864210128784
1.72,long_approach,walking,True,-1.6775764425945514,-0.6384606832090365,0.11251791459695511,0.2681772614954799,0.008641116333698032,0.26831644093254425,0.2255338631708731,0.3599076933001388,0.43094723861220674,8.145466748885307,0.9946539402008057
1.74,long_approach,walking,True,-1.672352623905392,-0.6377733736345153,0.1128871912144858,0.25966476054809634,-0.004124057163964114,0.2596975081089379,0.22590778989228225,0.3558167068122588,0.21558468123394187,8.484358603344964,0.9957287907600403
1.76,long_approach,walking,True,-1.6671147472366326,-0.6371842312131984,0.1136108190120091,0.26231249142276014,-0.005275946193492883,0.2623655441643438,0.2265213520806133,0.3517488169691192,0.005925748628846941,8.591088328596237,0.9967470765113831
1.78,long_approach,walking,True,-1.6621369119703413,-0.636571671706305,0.11406914677846368,0.24812117128020805,0.009363014818727833,0.24829776818158888,0.22705321761094488,0.3480160333708093,-0.15912137706090032,8.487835799705328,0.9974948763847351
1.8,long_approach,walking,True,-1.657367869655661,-0.6350529933723696,0.11431313239943931,0.24339049711080735,0.05778986489895053,0.2501571557419153,0.22727809956738543,0.34576900725983073,-0.4408037295525531,8.096728053788734,0.9978921413421631
1.82,long_approach,walking,True,-1.6527481898231071,-0.6322460757513133,0.11378946058629026,0.24518794321945664,0.12977815171703735,0.27741574606225555,0.226889030307855,0.34453628444500417,-0.4514311565684125,7.523895424257308,0.9979694485664368
1.84,long_approach,walking,True,-1.648385014342243,-0.6291693067661799,0.11331768851478094,0.23249742692111133,0.12629519908778675,0.2645855832005236,0.22626612754860392,0.34396382912141416,-0.8722172546214624,7.077456116808038,0.9973450303077698
1.86,long_approach,walking,True,-1.644523815838019,-0.6269120671614238,0.11431780974835754,0.18525044299289364,0.061990820594173116,0.19534735336574768,0.22649984473020274,0.34578755441098236,0.6357592531062625,7.556496045431924,0.995661735534668
1.8800000000000001,long_approach,walking,True,-1.6409011699410039,-0.6256449000542171,0.11496124917222128,0.18296290866340487,0.025435296225509694,0.18472244108568092,0.2274223628352756,0.347857515861284,0.7334015393147173,8.351960804200433,0.9933122396469116
1.9000000000000001,long_approach,walking,True,-1.6375576032539556,-0.6248779920568616,0.11540195493971431,0.16003836140335295,0.011774424870515892,0.16047091388068316,0.22780493373617963,0.3511741679671154,0.1263683652291966,8.508265536860593,0.9905365705490112
1.92,long_approach,walking,True,-1.634449954641033,-0.6246138498310807,0.11508834773869153,0.15158714353353397,-0.02676024512622039,0.1539310651034145,0.22773225346652523,0.3543481349633441,-0.14619598013025104,8.579570504157672,0.9876288771629333
1.94,long_approach,walking,True,-1.6315809384665576,-0.6246885867434424,0.11456695356524954,0.1381761356620939,-0.01785626100272158,0.13932512524130994,0.2271518442709058,0.35759666032221255,-0.8176454560510045,8.17572095105974,0.9841012358665466
1.96,long_approach,walking,True,-1.628829304200409,-0.6241538199114743,0.11439068446616375,0.1424733691049543,0.012090624626384088,0.1429854681706245,0.22658603788040274,0.3623525420466057,-0.12248614242273681,8.025847850846292,0.9794039726257324
1.98,long_approach,walking,True,-1.6255911820990085,-0.6234205092754553,0.11441866227494572,0.17433381313105054,0.018519777791861532,0.17531474715571413,0.22622890631450163,0.36594296627405876,-0.8153805285836229,7.368519831657932,0.9746778011322021
2.0,long_approach,walking,True,-1.6215078880864273,-0.622387211219021,0.1147953321623532,0.21237034269569807,0.026046726547906046,0.21396166577345027,0.22631723513303623,0.37058932078839335,-0.4052714932259328,7.17766638682543,0.9717860817909241
2.02,long_approach,walking,True,-1.6165750485988692,-0.6214015327990076,0.115076081615972,0.25236693599595605,0.01914339499953762,0.25309195948527347,0.22657042585594633,0.3724105592116447,-0.17865906621982694,6.756934187972997,0.9715145230293274
2.04,long_approach,walking,True,-1.6105497880345403,-0.6204844914082124,0.11611449810736608,0.3067354220829092,0.013710687273299915,0.3070416944095487,0.2277261276677552,0.3725506223702265,-0.09043412080766194,6.644860035374838,0.9734442234039307
2.06,long_approach,walking,True,-1.6034160376477373,-0.6196079325563344,0.1167543463400573,0.35860395751951507,0.007427501806201455,0.3586808694811298,0.2287348374874566,0.37009520262707096,-0.10275433647150961,6.511374682496638,0.976780891418457
2.08,long_approach,walking,True,-1.5953964836836207,-0.6186436416448293,0.11762747098680308,0.4073691723146408,0.0073601422833142974,0.4074356565726006,0.22992089506058375,0.3681045655232127,0.022602078744274376,6.420526010826581,0.9805012941360474
2.1,long_approach,walking,True,-1.5868098087169193,-0.6175899928737092,0.1181492244315614,0.431783631867278,-0.001988977564160836,0.4317882128778503,0.2307316699575524,0.3670517167298931,0.30662174423901495,6.672103226700777,0.9838889241218567
2.12,long_approach,walking,True,-1.5779428390461518,-0.6170168340042138,0.11823702224417953,0.41676419946988874,-0.019495682312852265,0.4172199415040236,0.23101010786383394,0.3670640114217811,0.12905978182168415,6.897541552741424,0.986799418926239
2.14,long_approach,walking,True,-1.5692925062453666,-0.6164676648201349,0.11798365805406906,0.41913682672797936,-0.01430443280085066,0.41938084877275245,0.23087526878999268,0.36660361429682026,0.29049035510852883,7.0542680801581685,0.9879289865493774
2.16,long_approach,walking,True,-1.5609549383557488,-0.6155242096030059,0.11719383326511904,0.4060478324727361,0.013596620133073407,0.4062754119250269,0.23009000226469983,0.36540477652461195,0.6054005906419065,7.464322890148827,0.9880771636962891
2.18,long_approach,walking,True,-1.553025673136783,-0.6148738444684718,0.11616743616956247,0.38849362893899403,-0.04030320337047947,0.3905786065929764,0.229021245943065,0.3638722781346311,-0.5409089699534146,7.406660119819856,0.9876791834831238
2.2,long_approach,walking,True,-1.5453342620182298,-0.6141492620292031,0.11500326708886861,0.3850788848726106,0.010183605579385762,0.38521351663373626,0.22785515299839298,0.36114966040255553,0.3331373121183038,7.324838913323901,0.9872674345970154
2.22,long_approach,walking,True,-1.538118337581848,-0.6128516496335836,0.11384942155952416,0.35973691374492556,0.008120480433968371,0.35982855544439835,0.22663962670343746,0.35733349716988755,0.5039814474250663,7.921897274578111,0.9870672821998596
2.24,long_approach,walking,True,-1.5307468823871133,-0.6111907719587505,0.11264709112754367,0.392871510307906,0.03912795567244803,0.39481517261463006,0.22558930434457167,0.3525565802469124,0.653388283787586,8.657052611667133,0.9877930283546448
2.2600000000000002,long_approach,walking,True,-1.523302985194767,-0.6096492383314003,0.11193432937090679,0.3849922442650116,0.019027435426038145,0.38546215306188286,0.22483236614919,0.34858599564899645,0.4639605728092727,9.204316388959477,0.9894840121269226
2.2800000000000002,long_approach,walking,True,-1.5157587133684383,-0.6080502150956287,0.11151847645693294,0.37913960486942455,0.009140623058570104,0.37924977385681097,0.22440465070709575,0.34482362608312717,0.3175191776542126,9.549076455088942,0.9917002320289612
2.3000000000000003,long_approach,walking,True,-1.5083494692920978,-0.6068690406934474,0.11148690587071917,0.3700531796032949,-0.013489387046311266,0.37029895935229634,0.22437443634449492,0.34150839466346794,0.36384194969906813,9.970575351041088,0.993817925453186
2.32,long_approach,walking,True,-1.5009914306555339,-0.6057649454829452,0.1118404851545227,0.3714223880176001,-0.005627416823202979,0.3714650160389249,0.2246127271139019,0.33958128685176797,0.110609087935246,10.207935543380092,0.9957305788993835
2.34,long_approach,walking,True,-1.493726517200062,-0.6046815969910915,0.11235353322986347,0.3641869460333314,-0.008364537974296862,0.3642829904848813,0.22504693093839395,0.3390860780139845,-0.06092450566334545,10.201627128296373,0.997249960899353
